UBC Resistivity Measurement:2019-02-05 15:38:06.229883
==========================================================================
Sample Name: Sample
User: Username
Material: Material
==========================================================================
  Time(s)  |   Temp(K)   |  Vref(V)  |  ReVs (mV)  |  ImVs (mV)  |  Res(Ohm)  
  4027.54236  |  42.61100  |  0.95400  |   0.42033   |   0.16379    |  0.04729  
  4033.55271  |  41.17000  |  0.95480  |   0.41628   |   0.15760    |  0.04662  
  4039.54205  |  39.66400  |  0.95470  |   0.41604   |   0.14806    |  0.04626  
  4045.57039  |  38.02700  |  0.95420  |   0.41008   |   0.13948    |  0.04539  
  4051.51073  |  36.25500  |  0.95420  |   0.40460   |   0.12732    |  0.04445  
  4057.46207  |  34.33800  |  0.95400  |   0.39864   |   0.11611    |  0.04352  
  4063.46142  |  32.26300  |  0.95380  |   0.39697   |   0.10681    |  0.04310  
  4069.48676  |  29.98600  |  0.95450  |   0.39435   |   0.09656    |  0.04253  
  4075.35410  |  27.59200  |  0.95360  |   0.38743   |   0.08631    |  0.04162  
  4081.34144  |  25.19900  |  0.95430  |   0.38672   |   0.07629    |  0.04130  
  4087.33478  |  22.78500  |  0.95460  |   0.38004   |   0.06795    |  0.04044  
  4093.34413  |  20.44300  |  0.95400  |   0.37861   |   0.05865    |  0.04016  
  4099.33047  |  18.33500  |  0.95380  |   0.37480   |   0.04721    |  0.03961  
  4105.32181  |  16.61800  |  0.95380  |   0.37408   |   0.04101    |  0.03946  
  4111.32315  |  15.39800  |  0.95420  |   0.36621   |   0.03004    |  0.03851  
  4117.35350  |  14.62600  |  0.95460  |   0.36192   |   0.01717    |  0.03796  
  4123.35584  |  14.16900  |  0.95390  |   0.36311   |   0.01264    |  0.03809  
  4129.37919  |  13.90900  |  0.95410  |   0.36001   |   0.00405    |  0.03774  
  4135.38753  |  13.74600  |  0.95390  |   0.35811   |   -0.00548    |  0.03755  
  4141.39587  |  13.63900  |  0.95400  |   0.35215   |   -0.00954    |  0.03693  
  4147.42222  |  13.55100  |  0.95450  |   0.34976   |   -0.02098    |  0.03671  
  4153.45656  |  13.47100  |  0.95380  |   0.34380   |   -0.03052    |  0.03619  
  4159.45691  |  13.40000  |  0.95380  |   0.34285   |   -0.03719    |  0.03616  
  4165.48425  |  13.33300  |  0.95460  |   0.33999   |   -0.04458    |  0.03592  
  4171.49660  |  13.27200  |  0.95460  |   0.33593   |   -0.05484    |  0.03566  
  4177.52094  |  13.21200  |  0.95390  |   0.33522   |   -0.05937    |  0.03569  
  4183.52528  |  13.17000  |  0.95450  |   0.33379   |   -0.06557    |  0.03564  
  4189.56363  |  13.12900  |  0.95370  |   0.33307   |   -0.07153    |  0.03572  
  4195.57797  |  13.08500  |  0.95460  |   0.33379   |   -0.07963    |  0.03595  
  4201.45631  |  13.05500  |  0.95450  |   0.33164   |   -0.07963    |  0.03573  
  4207.46265  |  13.03300  |  0.95420  |   0.33093   |   -0.07987    |  0.03568  
  4213.45800  |  13.01700  |  0.95400  |   0.32544   |   -0.08750    |  0.03533  
  4219.49034  |  13.00300  |  0.95390  |   0.32854   |   -0.08369    |  0.03554  
  4225.51769  |  12.93400  |  0.95400  |   0.32878   |   -0.08440    |  0.03558  
  4231.53903  |  12.86900  |  0.95420  |   0.33045   |   -0.08655    |  0.03580  
  4237.41337  |  12.83700  |  0.95380  |   0.32759   |   -0.08535    |  0.03549  
  4243.44971  |  12.81900  |  0.95430  |   0.32711   |   -0.08655    |  0.03546  
  4249.47106  |  12.80800  |  0.95430  |   0.32592   |   -0.08869    |  0.03539  
  4255.53440  |  12.80000  |  0.95400  |   0.32521   |   -0.08583    |  0.03526  
  4261.54775  |  12.79100  |  0.95400  |   0.32854   |   -0.08535    |  0.03558  
  4267.43108  |  12.78400  |  0.95440  |   0.32497   |   -0.08655    |  0.03524  
  4273.46543  |  12.77700  |  0.95410  |   0.32497   |   -0.08702    |  0.03526  
  4279.45477  |  12.76900  |  0.95410  |   0.32878   |   -0.08798    |  0.03567  
  4285.51012  |  12.76400  |  0.95440  |   0.32592   |   -0.08678    |  0.03534  
  4291.53846  |  12.75500  |  0.95400  |   0.32592   |   -0.08941    |  0.03543  
  4297.54981  |  12.74900  |  0.95380  |   0.32306   |   -0.08869    |  0.03512  
  4303.64515  |  12.74300  |  0.95370  |   0.32711   |   -0.08416    |  0.03542  
  4309.66450  |  12.73600  |  0.95370  |   0.32830   |   -0.08774    |  0.03563  
  4315.69484  |  12.73000  |  0.95380  |   0.32377   |   -0.08726    |  0.03516  
  4321.72319  |  12.72300  |  0.95450  |   0.32759   |   -0.08607    |  0.03549  
  4327.77754  |  12.71600  |  0.95370  |   0.32687   |   -0.08678    |  0.03546  
  4333.80688  |  12.71100  |  0.95430  |   0.32258   |   -0.08678    |  0.03500  
  4339.68222  |  12.70300  |  0.95440  |   0.32616   |   -0.08822    |  0.03540  
  4345.68756  |  12.69700  |  0.95400  |   0.32592   |   -0.09060    |  0.03546  
  4351.68990  |  12.68900  |  0.95440  |   0.32425   |   -0.08655    |  0.03516  
  4357.73025  |  12.68300  |  0.95390  |   0.32640   |   -0.08702    |  0.03541  
  4363.74859  |  12.67700  |  0.95450  |   0.32735   |   -0.08440    |  0.03542  
  4369.78294  |  12.67000  |  0.95380  |   0.32759   |   -0.08917    |  0.03560  
  4375.66627  |  12.66400  |  0.95380  |   0.32616   |   -0.08822    |  0.03542  
  4381.69562  |  12.65800  |  0.95450  |   0.32687   |   -0.08798    |  0.03546  
  4387.58896  |  12.65300  |  0.95380  |   0.32425   |   -0.08345    |  0.03510  
  4393.55630  |  12.64600  |  0.95460  |   0.32425   |   -0.09084    |  0.03527  
  4399.58664  |  12.64000  |  0.95410  |   0.32616   |   -0.08702    |  0.03538  
  4405.63099  |  12.63400  |  0.95440  |   0.32354   |   -0.08416    |  0.03503  
  4411.53733  |  12.62600  |  0.95450  |   0.32592   |   -0.08702    |  0.03534  
  4417.58567  |  12.62000  |  0.95430  |   0.33045   |   -0.08750    |  0.03582  
  4423.59001  |  12.61400  |  0.95460  |   0.32449   |   -0.08678    |  0.03519  
  4429.61436  |  12.60800  |  0.95390  |   0.32544   |   -0.08655    |  0.03530  
  4435.66471  |  12.60100  |  0.95440  |   0.30589   |   -0.08750    |  0.03334  
  4441.70005  |  12.59400  |  0.95380  |   0.33140   |   -0.08750    |  0.03594  
  4447.72940  |  12.59000  |  0.95380  |   0.32592   |   -0.08822    |  0.03540  
  4453.74074  |  12.58600  |  0.95390  |   0.32377   |   -0.09155    |  0.03527  
  4459.79709  |  12.58100  |  0.95380  |   0.32354   |   -0.08297    |  0.03502  
  4465.81543  |  12.57400  |  0.95410  |   0.32377   |   -0.08774    |  0.03516  
  4471.83978  |  12.56700  |  0.95430  |   0.32521   |   -0.08512    |  0.03523  
  4477.87712  |  12.56100  |  0.95440  |   0.32687   |   -0.08535    |  0.03540  
  4483.74646  |  12.55500  |  0.95430  |   0.32330   |   -0.08583    |  0.03505  
  4489.79380  |  12.54800  |  0.95420  |   0.32568   |   -0.08702    |  0.03533  
  4495.82415  |  12.54200  |  0.95420  |   0.32258   |   -0.08321    |  0.03491  
  4501.83049  |  12.53400  |  0.95390  |   0.32330   |   -0.08130    |  0.03495  
  4507.83983  |  12.52900  |  0.95440  |   0.32330   |   -0.08321    |  0.03498  
  4513.87018  |  12.52100  |  0.95420  |   0.32354   |   -0.08488    |  0.03505  
  4519.91352  |  12.51500  |  0.95410  |   0.32115   |   -0.08297    |  0.03477  
  4525.92087  |  12.50700  |  0.95410  |   0.32044   |   -0.08106    |  0.03464  
  4531.79420  |  12.50300  |  0.95410  |   0.32497   |   -0.08178    |  0.03512  
  4537.84255  |  12.49600  |  0.95380  |   0.32258   |   -0.08583    |  0.03500  
  4543.88490  |  12.45900  |  0.95410  |   0.32497   |   -0.08225    |  0.03513  
  4549.89324  |  12.41800  |  0.95410  |   0.32449   |   -0.08059    |  0.03504  
  4555.74757  |  12.40700  |  0.95420  |   0.32091   |   -0.08822    |  0.03488  
  4561.76792  |  12.40200  |  0.95370  |   0.32759   |   -0.08416    |  0.03546  
  4567.63625  |  12.39400  |  0.95420  |   0.32592   |   -0.08726    |  0.03536  
  4573.65260  |  12.38300  |  0.95430  |   0.32330   |   -0.08774    |  0.03510  
  4579.64994  |  12.37400  |  0.95420  |   0.32258   |   -0.08202    |  0.03488  
